Relation Name,Description,Reference,Notes
about,Refers to a resource that is the subject of the link's context.,"[RFC6903], section 2",
acl,Asserts that the link target provides an access control resource for the link context.,[https://solidproject.org/TR/wac#acl-link-relation],
alternate,Refers to a substitute for this context,[HTML],
amphtml,Used to reference alternative content that uses the AMP profile of the HTML format.,[AMP HTML],
appendix,Refers to an appendix.,[HTML 4.01 Specification],
apple-touch-icon,Refers to an icon for the context. Synonym for icon.,[Configuring Web Applications],
apple-touch-startup-image,Refers to a launch screen for the context.,[Configuring Web Applications],
archives,"Refers to a collection of records, documents, or other
      materials of historical interest.",[HTML5],
author,Refers to the context's author.,[HTML],See also 'me'
blocked-by,"Identifies the entity that blocks access to a resource
      following receipt of a legal demand.",[RFC7725],
bookmark,Gives a permanent link to use for bookmarking purposes.,[HTML],
canonical,Designates the preferred version of a resource (the IRI and its contents).,[RFC6596],
chapter,Refers to a chapter in a collection of resources.,[HTML 4.01 Specification],
cite-as,Indicates that the link target is preferred over the link context for the purpose of permanent citation.,[RFC8574],
collection,The target IRI points to a resource which represents the collection resource for the context IRI.,[RFC6573],
contents,Refers to a table of contents.,[HTML 4.01 Specification],
convertedfrom,"The document linked to was later converted to the
      document that contains this link relation.  For example, an RFC can
      have a link to the Internet-Draft that became the RFC; in that case,
      the link relation would be ""convertedFrom"".",[RFC7991],"This relation is different than ""predecessor-version"" in that
      ""predecessor-version"" is for items in a version control system.  It
      is also different than ""previous"" in that this relation is used for
      converted resources, not those that are part of a sequence of
      resources."
copyright,"Refers to a copyright statement that applies to the
    link's context.",[HTML 4.01 Specification],
create-form,The target IRI points to a resource where a submission form can be obtained.,[RFC6861],
current,"Refers to a resource containing the most recent
      item(s) in a collection of resources.",[RFC5005],
describedby,"Refers to a resource providing information about the
      link's context.",[Protocol for Web Description Resources (POWDER)],
describes,"The relationship A 'describes' B asserts that
      resource A provides a description of resource B. There are no
      constraints on the format or representation of either A or B,
      neither are there any further constraints on either resource.",[RFC6892],"This link relation type is the inverse of the 'describedby'
        relation type.  While 'describedby' establishes a relation from
        the described resource back to the resource that describes it,
        'describes' established a relation from the describing resource to
        the resource it describes.  If B is 'describedby' A, then A
        'describes' B."
disclosure,Refers to a list of patent disclosures made with respect to material for which 'disclosure' relation is specified.,[RFC6579],
dns-prefetch,"Used to indicate an origin that will be used to fetch required resources for the link context, and that the user agent ought to resolve as early as possible.",[HTML],
duplicate,"Refers to a resource whose available representations
      are byte-for-byte identical with the corresponding representations of
      the context IRI.",[RFC6249],"This relation is for static resources.  That is, an HTTP GET
      request on any duplicate will return the same representation.  It
      does not make sense for dynamic or POSTable resources and should not
      be used for them."
edit,"Refers to a resource that can be used to edit the
      link's context.",[RFC5023],
edit-form,"The target IRI points to a resource where a submission form for
      editing associated resource can be obtained.",[RFC6861],
edit-media,"Refers to a resource that can be used to edit media
      associated with the link's context.",[RFC5023],
enclosure,"Identifies a related resource that is potentially
      large and might require special handling.",[RFC4287],
external,Refers to a resource that is not part of the same site as the current context.,[HTML],
first,"An IRI that refers to the furthest preceding resource
    in a series of resources.",[RFC8288],"This relation type registration did not indicate a
      reference.  Originally requested by Mark Nottingham in December
      2004."
glossary,Refers to a glossary of terms.,[HTML 4.01 Specification],
help,Refers to context-sensitive help.,[HTML],
hosts,"Refers to a resource hosted by the server indicated by
      the link context.",[RFC6690],"This relation is used in CoRE where links are retrieved as a
      ""/.well-known/core"" resource representation, and is the default
      relation type in the CoRE Link Format."
hub,"Refers to a hub that enables registration for
    notification of updates to the context.",[WebSub],This relation type was requested by Brett Slatkin.
icon,Refers to an icon representing the link's context.,[HTML],
index,Refers to an index.,[HTML 4.01 Specification],
intervalafter,refers to a resource associated with a time interval that ends before the beginning of the time interval associated with the context resource,[Time Ontology in OWL] section 4.2.21,
intervalbefore,refers to a resource associated with a time interval that begins after the end of the time interval associated with the context resource,[Time Ontology in OWL] section 4.2.22,
intervalcontains,"refers to a resource associated with a time interval that begins after the beginning of the time interval associated with the context resource, and ends before the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.23,
intervaldisjoint,"refers to a resource associated with a time interval that begins after the end of the time interval associated with the context resource, or ends before the beginning of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.24,
intervalduring,"refers to a resource associated with a time interval that begins before the beginning of the time interval associated with the context resource, and ends after the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.25,
intervalequals,"refers to a resource associated with a time interval whose beginning coincides with the beginning of the time interval associated with the context resource, and whose end coincides with the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.26,
intervalfinishedby,"refers to a resource associated with a time interval that begins after the beginning of the time interval associated with the context resource, and whose end coincides with the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.27,
intervalfinishes,"refers to a resource associated with a time interval that begins before the beginning of the time interval associated with the context resource, and whose end coincides with the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.28,
intervalin,"refers to a resource associated with a time interval that begins before or is coincident with the beginning of the time interval associated with the context resource, and ends after or is coincident with the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.29,
intervalmeets,refers to a resource associated with a time interval whose beginning coincides with the end of the time interval associated with the context resource,[Time Ontology in OWL] section 4.2.30,
intervalmetby,refers to a resource associated with a time interval whose end coincides with the beginning of the time interval associated with the context resource,[Time Ontology in OWL] section 4.2.31,
intervaloverlappedby,"refers to a resource associated with a time interval that begins before the beginning of the time interval associated with the context resource, and ends after the beginning of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.32,
intervaloverlaps,"refers to a resource associated with a time interval that begins before the end of the time interval associated with the context resource, and ends after the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.33,
intervalstartedby,"refers to a resource associated with a time interval whose beginning coincides with the beginning of the time interval associated with the context resource, and ends before the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.34,
intervalstarts,"refers to a resource associated with a time interval whose beginning coincides with the beginning of the time interval associated with the context resource, and ends after the end of the time interval associated with the context resource",[Time Ontology in OWL] section 4.2.35,
item,The target IRI points to a resource that is a member of the collection represented by the context IRI.,[RFC6573],
last,"An IRI that refers to the furthest following resource
      in a series of resources.",[RFC8288],"This relation type registration did not indicate a
      reference. Originally requested by Mark Nottingham in December
      2004."
